Country,City,Name,Link,Logo,Description
United States,Mexicali,CETYS University System,https://www.cetys.mx/en/mexicali-campus/,,
United States,New York City,"City College of New York, City University of New York",https://www.ccny.cuny.edu/,,
United States,Chicago,DePaul University,https://www.depaul.edu/Pages/default.aspx,,
United States,,DeSales University,https://www.desales.edu/,,
United States,,Drew University,https://drew.edu/,,
United States,Teaneck,Fairleigh Dickinson University,https://www.fdu.edu/,,
United States,Santa Barbara,Fielding Graduate University,https://www.fielding.edu/,,
United States,Fort Myers,Florida Golf Coast University,https://www.fgcu.edu/,,
United States,New York City,Fordham University,https://www.fordham.edu/,,
United States,Fairfax,George Mason University,https://www2.gmu.edu/,,
United States,"Washington, D.C.",George Washington University Law School,https://www.law.gwu.edu/,,
United States,Santa Barbara,Graduate University,,,
United States,Ames,Iowa State University of Science and Technology,https://www.iastate.edu/,,
United States,Kent,Kent State University,https://www.kent.edu/,,
United States,Milwaukee,Marquette University,https://www.marquette.edu/,,
United States,Macon,Mercer University,https://www.mercer.edu/,,
United States,Millersville,Millersville University,https://www.millersville.edu/,,
United States,Starkville,Mississippi State University,https://www.msstate.edu/,,
United States,Monterey,Monmouth University,https://www.monmouth.edu/,,
United States,New York City,New York University,https://www.nyu.edu/,,
United States,The Federal Capital Territory,Northeastern State University,https://academics.nsuok.edu/,,
United States,,Northeastern University,https://www.northeastern.edu/,,
United States,Evanston,Northwestern University,https://www.northwestern.edu/,,
United States,,Northwood University Cerritos Campus,https://www.northwood.edu/,,
United States,New York City,Pace University,https://www.pace.edu/,,
United States,University Park,Pennsylvania State University,https://www.psu.edu/,,
United States,Princeton,Princeton University,https://www.princeton.edu/,,
United States,Houston,Rice University,https://www.rice.edu/,,
United States,New Brunswick,"Rutgers, The State University of New Jersey",https://www.rutgers.edu/,,
United States,Moffet Field,Singularity University,,,
United States,,St. Louis University,,,
United States,Stanford,Stanford University,,,
United States,New Paltz,State University of New York at New Paltz,,,
United States,Syracuse,Syracuse University,,,
United States,,"Teachers College, Columbia University",,,
United States,Philadelphia,Temple University,,,
United States,Towson,Towson University,,,
United States,Merced,"University of California, Merced",,,
United States,Edmond,University of Central Oklahoma,,,
United States,West Hartford,University of Hartford,,,
United States,Lawrence,University of Kansas,,,
United States,,University of Mary,,,
United States,,University of Minnesota,,,
United States,Philadelphia,University of Pennsylvania,,,
United States,,University of San Francisco School of Management,,,
United States,Seattle,University of Washington,,,
United States,Madison,University of Wisconsin - Madison,,,
United States,Nashville,Vanderbilt University,,,
United States,New Haven,Yale University,,,
Zimbabwe,Mutare,Africa University,https://www.africau.edu/,,"Joint research
Exchange of undergraduate and graduate students Faculty participation in seminars and academic meetings
Exchange of publications, academic materials 
Joint quality assurance and benchmarking"
,,Nagoya University,,,
